codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
DF26024314NT-R,4IM,4IMOB IMOBILIÁRIA LTDA,"2.700,00","100,00","10,00",Ativo,02/03/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26024183A,4IM,4IMOB IMOBILIÁRIA LTDA,"3.500,00","100,00","10,00",Ativo,20/02/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26014096T-R,4IM,4IMOB IMOBILIÁRIA LTDA,"6.000,00","100,00","10,00",Ativo,01/02/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF260404880NT,4IM,4IMOB IMOBILIÁRIA LTDA,"6.700,00","30,00","10,00",Ativo,03/05/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF260404792NT,4IM,4IMOB IMOBILIÁRIA LTDA,"4.200,00","100,00","8,00",Ativo,10/04/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF260304573NT,4IM,4IMOB IMOBILIÁRIA LTDA,"6.000,00","50,00","10,00",Ativo,24/03/2026,12,,Padrão,sistema,Smart,Nao,Sim
DF2502338NA/A,4IM,4IMOB IMOBILIÁRIA LTDA,"2.300,00","50,00","10,00",Ativo,13/02/2025,30,,Padrão,sistema,Smart,Nao,Sim
DF2502308NG/V-R,4IM,4IMOB IMOBILIÁRIA LTDA,"2.650,00","100,00","10,00",Ativo,10/02/2025,30,,Padrão,sistema,Smart,Nao,Sim
DF2501192A-R,4IM,4IMOB IMOBILIÁRIA LTDA,"900,00","100,00","10,00",Ativo,28/01/2025,30,,Padrão,sistema,Smart,Nao,Sim
DF22121281P,4IM,4IMOB IMOBILIÁRIA LTDA,"5.600,00","100,00","10,00",Ativo,09/01/2023,30,,Padrão,sistema,Smart,Nao,Sim
DF22121264P,4IM,4IMOB IMOBILIÁRIA LTDA,"3.400,00","100,00","10,00",Ativo,02/01/2023,30,,Padrão,sistema,Smart,Nao,Sim
DF2208682P,4IM,4IMOB IMOBILIÁRIA LTDA,"4.000,00","100,00","10,00",Ativo,10/08/2022,30,,Padrão,sistema,Smart,Nao,Sim
DF2501109NA/A,4IM,4IMOB IMOBILIÁRIA LTDA,"1.050,00","100,00","10,00",Ativo,20/01/2025,30,,Padrão,sistema,Smart,Nao,Sim
DF24101351NG,4IM,4IMOB IMOBILIÁRIA LTDA,"2.000,00","100,00","10,00",Ativo,31/10/2024,30,,Padrão,sistema,Smart,Nao,Sim
