codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
PA2209917P,RVE, RVEIGA IMÓVEIS LTDA,"1.100,00","100,00","10,00",Encerrado,06/10/2022,30,08/11/2023,Agencie,sistema,Smart,Nao,Sim
DF24101219S,4IM,4IMOB IMOBILIÁRIA LTDA,"2.200,00","100,00","10,00",Pausado,09/10/2024,30,,Padrão,sistema,Smart,Nao,Sim
DF24091185NG,4IM,4IMOB IMOBILIÁRIA LTDA,"5.200,00","100,00","10,00",Pausado,01/10/2024,30,,Padrão,sistema,Smart,Nao,Sim
DF23091151P-R/A,4IM,4IMOB IMOBILIÁRIA LTDA,"2.900,00","100,00","8,00",Pausado,18/09/2023,30,,Padrão,sistema,Smart,Nao,Sim
DF2308971NT,4IM,4IMOB IMOBILIÁRIA LTDA,"2.200,00","100,00","10,00",Pausado,04/08/2023,30,06/09/2024,Padrão,sistema,Smart,Nao,Sim
DF2305664A,4IM,4IMOB IMOBILIÁRIA LTDA,"750,00","100,00","10,00",Pausado,15/05/2023,30,,Padrão,sistema,Smart,Nao,Sim
DF2303475P,4IM,4IMOB IMOBILIÁRIA LTDA,"1.200,00","100,00","10,00",Pausado,04/04/2023,30,,Padrão,sistema,Smart,Nao,Sim
DF260404880NT,4IM,4IMOB IMOBILIÁRIA LTDA,"6.700,00","30,00","10,00",Ativo,03/05/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF260404792NT,4IM,4IMOB IMOBILIÁRIA LTDA,"4.200,00","100,00","8,00",Ativo,10/04/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26024314NT-R,4IM,4IMOB IMOBILIÁRIA LTDA,"2.700,00","100,00","10,00",Ativo,02/03/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26024183A,4IM,4IMOB IMOBILIÁRIA LTDA,"3.500,00","100,00","10,00",Ativo,20/02/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26014096T-R,4IM,4IMOB IMOBILIÁRIA LTDA,"6.000,00","100,00","10,00",Ativo,01/02/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF2208738P,4IM,4IMOB IMOBILIÁRIA LTDA,"1.500,00","100,00","10,00",Encerrado,01/09/2022,12,07/02/2023,Padrão,sistema,Smart,Nao,Sim
DF2208684P,4IM,4IMOB IMOBILIÁRIA LTDA,"1.800,00","100,00","10,00",Encerrado,10/08/2022,30,12/05/2023,Padrão,sistema,Smart,Nao,Sim
DF2206527P,4IM,4IMOB IMOBILIÁRIA LTDA,"3.500,00","100,00","10,00",Encerrado,20/06/2022,30,17/10/2023,Padrão,sistema,Smart,Nao,Sim
DF2206498P,4IM,4IMOB IMOBILIÁRIA LTDA,"2.900,00","80,00","8,00",Encerrado,10/06/2022,30,25/07/2023,Padrão,sistema,Smart,Nao,Sim
DF260404853A,4IM,4IMOB IMOBILIÁRIA LTDA,"1.650,00","100,00","10,00",Pausado,16/04/2026,30,,Padrão,sistema,Smart,Nao,Sim
DF26014034T-R,4IM,4IMOB IMOBILIÁRIA LTDA,"3.200,00","100,00","10,00",Pausado,25/01/2026,30,,Padrão,sistema,Smart,Nao,Sim
